iter	RMSE
0	3.045324905
1	2.865980068
2	2.699829743
3	2.548914095
4	2.41121291
5	2.283610625
6	2.162546498
7	2.051402732
8	1.94943128
9	1.85547875
10	1.77122064
11	1.69265135
12	1.623005627
13	1.557819864
14	1.498636496
15	1.445075536
16	1.397824454
17	1.355371347
18	1.315671041
19	1.280202615
20	1.248916984
21	1.220470322
22	1.195098592
23	1.172840675
24	1.152973763
25	1.134923758
26	1.118836857
27	1.104902813
28	1.092700542
29	1.082054615
30	1.072490844
31	1.063824931
32	1.05554538
33	1.04893062
34	1.042962911
35	1.037917897
36	1.033062729
37	1.028705243
38	1.024742198
39	1.021196724
40	1.01839929
41	1.015849421
42	1.013534168
43	1.011599667
44	1.009616735
45	1.008018351
46	1.006294517
47	1.00493164
48	1.003641599
49	1.002325225
50	1.001103093
51	1.000117745
52	0.9993976014
53	0.9985998633
54	0.9977622472
55	0.9972506805
56	0.9966646776
57	0.9961925222
58	0.9956426608
59	0.9951121501
60	0.9946996199
61	0.9942792549
62	0.9939427153
63	0.9934809234
64	0.9931549754
65	0.9928293235
66	0.9925120816
67	0.9921847502
68	0.9919017154
69	0.9916489187
70	0.9912389813
71	0.9909670364
72	0.9906679365
73	0.9904598967
74	0.9902767218
75	0.9900985529
76	0.9899026492
77	0.9895835469
78	0.9891652442
79	0.9890229459
80	0.9888171489
81	0.9887170801
82	0.9884720677
83	0.9882618151
84	0.9880942888
85	0.9878971044
86	0.9877309482
87	0.9875711945
88	0.9874671381
89	0.9873261056
90	0.9871227823
91	0.9869442863
92	0.9867645842
93	0.9865551939
94	0.9864162723
95	0.9862343312
96	0.98616288
97	0.986058462
98	0.9858943876
99	0.9857383326
100	0.9856044624
101	0.9854529139
102	0.9852794929
103	0.9850604372
104	0.9848750201
105	0.9846546456
106	0.9845609338
107	0.9844295011
108	0.9842134369
109	0.984106274
110	0.9839912786
111	0.983934665
112	0.983853028
113	0.9836304634
114	0.9835151615
115	0.9834424398
116	0.983356847
117	0.9832700629
118	0.9831551477
119	0.9830279029
120	0.9829077711
121	0.9828800951
122	0.9827131309
123	0.9825599691
124	0.9824830745
125	0.9823109515
126	0.9822098036
127	0.9820594264
128	0.9817892082
129	0.9816705084
130	0.9815476715
131	0.9814324459
132	0.9812966022
133	0.9812150667
134	0.9810235024
135	0.9808792149
136	0.9806661692
137	0.980559698
138	0.9804370048
139	0.9803357928
140	0.9802177757
141	0.9801191567
142	0.9800192616
143	0.9798457877
144	0.9797899674
145	0.9795982597
146	0.9794367262
147	0.9793523777
148	0.9792126573
149	0.9791529819
150	0.9790741824
151	0.9789509024
152	0.9788688069
153	0.9788242513
154	0.978689251
155	0.9785578021
156	0.9784919446
157	0.9784038528
158	0.9782652073
159	0.9781353354
160	0.9779783158
161	0.9777878383
162	0.977684741
163	0.9775260574
164	0.9773984375
165	0.9772706128
166	0.9771080636
167	0.976963095
168	0.9768275332
169	0.9768032581
170	0.97665271
171	0.9765212435
172	0.9764440243
173	0.9762265866
174	0.9760967034
175	0.9760541769
176	0.9759512664
177	0.9757642876
178	0.975640748
179	0.9755741469
180	0.9755188453
181	0.9754372389
182	0.9753245077
183	0.9751899648
184	0.9750941368
185	0.9750663072
186	0.9749863749
187	0.9747961141
188	0.9747197613
189	0.9744698221
190	0.9743719051
191	0.9743052491
192	0.974203382
193	0.9741157853
194	0.9740939689
195	0.9740052995
196	0.9738779043
197	0.9737761845
198	0.9736206434
199	0.9734828898
200	0.9734610196
201	0.9732937764
202	0.9731456018
203	0.9730208158
204	0.9729393927
205	0.9728449228
206	0.9727328211
207	0.9725047083
208	0.9723835871
209	0.9723335009
210	0.9721932949
211	0.9721736507
212	0.9720228524
213	0.9718747786
214	0.9716879333
215	0.9715459696
216	0.9714844479
217	0.9713692672
218	0.9713207414
219	0.9712333187
220	0.9712216588
221	0.9711230852
222	0.9709465019
223	0.9707393841
224	0.9706174842
225	0.9705793963
226	0.9703522431
227	0.9702493934
228	0.970069613
229	0.9698668061
230	0.9697182197
231	0.9695491813
232	0.9694390785
233	0.9692380283
234	0.9690872369
235	0.9689528426
236	0.9688083908
237	0.9686172675
238	0.9685582389
