iter	Passed	Remaining
0	58	58932
1	62	31319
2	65	21709
3	67	16857
4	70	13994
5	74	12339
6	76	10900
7	78	9791
8	81	8926
9	83	8270
10	85	7707
11	90	7430
12	91	6963
13	93	6600
14	96	6319
15	98	6046
16	100	5808
17	104	5710
18	106	5521
19	109	5385
20	113	5287
21	115	5139
22	121	5145
23	123	5034
24	126	4928
25	129	4837
26	133	4799
27	135	4720
28	139	4654
29	141	4585
30	144	4526
31	152	4606
32	157	4620
33	161	4599
34	165	4568
35	170	4575
36	180	4692
37	186	4726
38	190	4704
39	194	4678
40	199	4672
41	206	4721
42	213	4749
43	220	4782
44	222	4719
45	225	4670
46	227	4608
47	230	4561
48	233	4527
49	236	4494
50	238	4438
51	241	4395
52	243	4348
53	246	4317
54	250	4301
55	254	4294
56	257	4253
57	259	4219
58	264	4218
59	266	4178
60	270	4159
61	274	4147
62	277	4132
63	280	4099
64	283	4071
65	286	4048
66	289	4029
67	291	3998
68	294	3978
69	297	3946
70	301	3949
71	305	3940
72	307	3907
73	310	3885
74	312	3854
75	318	3869
76	321	3858
77	323	3829
78	329	3839
79	331	3809
80	334	3791
81	336	3764
82	350	3876
83	361	3936
84	374	4032
85	377	4011
86	389	4092
87	392	4066
88	398	4077
89	405	4097
90	407	4074
91	410	4049
92	413	4033
93	419	4044
94	422	4022
95	424	4000
96	426	3974
97	432	3981
98	436	3968
99	438	3947
100	440	3922
101	444	3916
102	449	3918
103	452	3896
104	455	3882
105	462	3897
106	464	3874
107	467	3859
108	469	3838
109	475	3846
110	477	3823
111	479	3801
112	481	3778
113	486	3781
114	491	3783
115	493	3762
116	495	3741
117	499	3730
118	501	3711
119	503	3692
120	505	3673
121	507	3650
122	509	3631
123	513	3626
124	515	3608
125	517	3591
126	519	3573
127	522	3556
128	524	3542
129	527	3527
130	529	3510
131	531	3493
132	533	3477
133	543	3515
134	547	3509
135	551	3501
136	558	3516
137	561	3504
138	565	3501
139	569	3497
140	575	3503
141	577	3489
142	580	3476
143	584	3477
144	587	3462
145	589	3450
146	592	3436
147	594	3422
148	598	3416
149	600	3402
150	602	3387
151	605	3378
152	607	3364
153	609	3350
154	613	3346
155	616	3332
156	618	3319
157	620	3306
158	622	3293
159	626	3287
160	628	3274
161	630	3263
162	633	3251
163	635	3238
164	637	3226
165	640	3219
166	643	3209
167	645	3197
168	647	3185
169	649	3172
170	653	3170
171	658	3167
172	660	3155
173	662	3143
174	664	3132
175	667	3126
176	669	3114
177	671	3103
178	674	3092
179	676	3083
180	680	3079
181	682	3067
182	685	3062
183	688	3051
184	689	3039
185	693	3034
186	695	3022
187	697	3011
188	699	3001
189	701	2991
190	703	2980
191	707	2977
192	709	2966
193	711	2955
194	713	2944
195	715	2934
196	717	2924
197	721	2920
198	723	2912
199	725	2902
200	727	2890
201	729	2881
202	732	2877
203	736	2874
204	739	2869
205	743	2865
206	745	2856
207	749	2853
208	751	2843
209	754	2839
210	756	2829
211	758	2819
212	762	2816
213	764	2807
214	766	2799
215	768	2790
216	771	2782
217	773	2772
218	776	2767
219	777	2758
220	779	2748
221	781	2739
222	783	2731
223	785	2722
224	790	2721
225	792	2713
226	794	2706
227	798	2702
228	801	2698
229	804	2691
230	806	2684
231	808	2676
232	810	2667
233	812	2660
234	816	2657
235	818	2649
236	820	2642
237	822	2634
238	824	2626
239	826	2617
240	830	2615
241	832	2607
242	834	2599
243	836	2591
244	838	2584
245	840	2576
246	842	2568
247	845	2563
248	847	2555
249	849	2548
250	851	2540
251	853	2533
252	855	2526
253	860	2527
254	862	2519
255	864	2513
256	867	2508
257	869	2501
258	873	2498
259	875	2491
260	877	2485
261	879	2477
262	883	2474
263	885	2468
264	887	2461
265	889	2454
266	892	2449
267	896	2448
268	898	2441
269	900	2434
270	902	2428
271	907	2428
272	912	2428
273	914	2422
274	916	2415
275	918	2408
276	920	2401
277	923	2398
278	925	2391
279	927	2385
280	929	2378
281	931	2372
282	936	2373
283	938	2366
284	940	2360
285	942	2354
286	945	2347
287	948	2344
288	950	2338
289	952	2332
290	954	2325
291	956	2318
292	959	2314
293	962	2312
294	964	2305
295	967	2299
296	969	2293
297	979	2307
298	982	2303
299	986	2301
300	989	2298
301	991	2292
302	994	2286
303	997	2283
304	1001	2281
305	1005	2280
306	1010	2281
307	1013	2276
308	1015	2270
309	1018	2267
310	1020	2261
311	1022	2255
312	1024	2249
313	1026	2243
314	1028	2237
315	1032	2235
316	1035	2230
317	1037	2224
318	1039	2219
319	1041	2214
320	1044	2210
321	1046	2204
322	1049	2198
323	1050	2192
324	1053	2187
325	1055	2181
326	1058	2179
327	1061	2174
328	1063	2168
329	1066	2165
330	1068	2160
331	1072	2157
332	1074	2152
333	1077	2148
334	1081	2147
335	1087	2148
336	1088	2142
337	1090	2136
338	1093	2131
339	1095	2125
340	1097	2120
341	1099	2115
342	1101	2110
343	1105	2107
344	1109	2105
345	1113	2103
346	1116	2100
347	1120	2098
348	1123	2095
349	1130	2099
350	1132	2094
351	1135	2090
352	1137	2085
353	1142	2084
354	1144	2078
355	1146	2073
356	1149	2069
357	1151	2064
358	1154	2061
359	1158	2058
360	1160	2053
361	1162	2048
362	1169	2052
363	1182	2065
364	1191	2073
365	1197	2075
366	1200	2070
367	1206	2071
368	1208	2067
369	1211	2062
370	1215	2060
371	1219	2059
372	1221	2053
373	1226	2052
374	1228	2047
375	1230	2041
376	1232	2036
377	1234	2031
378	1236	2026
379	1242	2026
380	1244	2021
381	1248	2019
382	1251	2015
383	1256	2015
384	1259	2011
385	1262	2008
386	1265	2004
387	1268	2000
388	1271	1996
389	1273	1991
390	1275	1985
391	1277	1980
392	1279	1976
393	1283	1974
394	1285	1969
395	1287	1964
396	1289	1958
397	1291	1954
398	1294	1949
399	1297	1946
400	1299	1941
401	1301	1936
402	1304	1931
403	1308	1930
404	1312	1928
405	1314	1923
406	1316	1918
407	1319	1914
408	1321	1909
409	1325	1906
410	1327	1902
411	1329	1897
412	1331	1892
413	1333	1887
414	1335	1882
415	1338	1879
416	1340	1874
417	1342	1869
418	1344	1864
419	1347	1860
420	1350	1857
421	1353	1853
422	1355	1848
423	1357	1844
424	1359	1839
425	1361	1834
426	1364	1830
427	1366	1825
428	1370	1823
429	1372	1818
430	1374	1814
431	1377	1811
432	1380	1807
433	1385	1806
434	1390	1806
435	1395	1805
436	1402	1806
437	1408	1807
438	1413	1806
439	1420	1808
440	1424	1806
441	1430	1805
442	1443	1814
443	1450	1816
444	1453	1812
445	1455	1807
446	1457	1803
447	1459	1798
448	1463	1795
449	1465	1791
450	1467	1786
451	1469	1781
452	1472	1777
453	1474	1773
454	1478	1771
455	1480	1766
456	1482	1762
457	1485	1757
458	1487	1753
459	1489	1748
460	1492	1745
461	1494	1740
462	1497	1736
463	1499	1731
464	1502	1728
465	1504	1724
466	1507	1720
467	1509	1716
468	1512	1712
469	1514	1707
470	1517	1704
471	1519	1699
472	1521	1695
473	1524	1691
474	1526	1687
475	1530	1684
476	1533	1681
477	1535	1677
478	1537	1672
479	1540	1668
480	1543	1665
481	1545	1661
482	1547	1656
483	1550	1652
484	1552	1648
485	1553	1643
486	1557	1640
487	1559	1636
488	1562	1632
489	1564	1628
490	1566	1623
491	1568	1619
492	1571	1616
493	1574	1612
494	1576	1608
495	1578	1604
496	1580	1599
497	1584	1597
498	1586	1593
499	1588	1588
500	1590	1584
501	1592	1580
502	1595	1576
503	1599	1573
504	1601	1569
505	1603	1565
506	1608	1564
507	1611	1561
508	1615	1558
509	1618	1554
510	1620	1550
511	1625	1549
512	1628	1546
513	1631	1542
514	1633	1538
515	1635	1533
516	1639	1531
517	1641	1527
518	1643	1523
519	1645	1519
520	1648	1515
521	1650	1511
522	1653	1508
523	1655	1504
524	1658	1500
525	1660	1496
526	1662	1492
527	1666	1489
528	1668	1485
529	1670	1481
530	1672	1477
531	1674	1473
532	1676	1468
533	1679	1465
534	1682	1461
535	1684	1457
536	1686	1453
537	1688	1449
538	1690	1445
539	1693	1442
540	1695	1438
541	1698	1435
542	1700	1431
543	1702	1426
544	1704	1422
545	1707	1420
546	1709	1415
547	1711	1412
548	1714	1408
549	1716	1404
550	1719	1401
551	1721	1397
552	1723	1393
553	1725	1389
554	1727	1385
555	1729	1381
556	1732	1377
557	1735	1374
558	1737	1371
559	1739	1367
560	1742	1363
561	1744	1359
562	1747	1356
563	1749	1352
564	1751	1348
565	1753	1344
566	1755	1340
567	1757	1337
568	1761	1334
569	1763	1330
570	1765	1326
571	1768	1323
572	1770	1319
573	1773	1316
574	1777	1313
575	1781	1311
576	1783	1307
577	1786	1304
578	1788	1300
579	1790	1296
580	1793	1293
581	1795	1289
582	1798	1286
583	1800	1282
584	1802	1278
585	1805	1275
586	1807	1271
587	1809	1267
588	1813	1265
589	1815	1261
590	1817	1257
591	1819	1253
592	1821	1250
593	1823	1246
594	1826	1243
595	1829	1239
596	1831	1236
597	1833	1232
598	1835	1228
599	1839	1226
600	1841	1222
601	1843	1218
602	1845	1214
603	1847	1211
604	1849	1207
605	1853	1205
606	1856	1202
607	1861	1200
608	1864	1196
609	1868	1194
610	1871	1191
611	1874	1188
612	1876	1184
613	1878	1181
614	1882	1178
615	1885	1175
616	1887	1171
617	1890	1168
618	1892	1164
619	1895	1161
620	1897	1158
621	1900	1154
622	1902	1151
623	1904	1147
624	1906	1144
625	1909	1140
626	1911	1137
627	1913	1133
628	1916	1130
629	1918	1126
630	1921	1123
631	1924	1120
632	1926	1116
633	1928	1113
634	1930	1109
635	1932	1106
636	1935	1103
637	1940	1101
638	1942	1097
639	1945	1094
640	1950	1092
641	1955	1090
642	1957	1086
643	1959	1083
644	1963	1080
645	1965	1077
646	1967	1073
647	1969	1069
648	1971	1066
649	1976	1064
650	1977	1060
651	1979	1056
652	1982	1053
653	1984	1049
654	1991	1049
655	1994	1045
656	2007	1048
657	2016	1047
658	2021	1045
659	2023	1042
660	2025	1038
661	2027	1035
662	2029	1031
663	2033	1028
664	2035	1025
665	2037	1021
666	2039	1018
667	2041	1014
668	2045	1011
669	2049	1009
670	2051	1005
671	2053	1002
672	2055	998
673	2057	995
674	2059	991
675	2063	989
676	2065	985
677	2068	982
678	2070	978
679	2072	975
680	2074	971
681	2078	969
682	2080	965
683	2082	962
684	2084	958
685	2087	955
686	2089	952
687	2093	949
688	2095	945
689	2097	942
690	2099	939
691	2101	935
692	2103	932
693	2106	928
694	2109	925
695	2112	922
696	2114	919
697	2116	915
698	2118	912
699	2120	908
700	2123	905
701	2135	906
702	2145	906
703	2156	906
704	2159	903
705	2163	901
706	2170	899
707	2174	896
708	2188	898
709	2190	894
710	2204	895
711	2206	892
712	2212	890
713	2215	887
714	2220	884
715	2227	883
716	2230	880
717	2243	881
718	2248	878
719	2277	885
720	2290	886
721	2292	882
722	2308	884
723	2337	891
724	2352	892
725	2354	888
726	2370	890
727	2387	891
728	2402	892
729	2414	893
730	2430	894
731	2433	890
732	2435	887
733	2438	883
734	2445	881
735	2448	878
736	2452	875
737	2455	871
738	2459	868
739	2463	865
740	2466	861
741	2468	858
742	2471	854
743	2475	851
744	2478	848
745	2481	844
746	2484	841
747	2486	837
748	2489	834
749	2492	830
750	2494	827
751	2497	823
752	2499	819
753	2505	817
754	2511	815
755	2520	813
756	2525	810
757	2531	808
758	2536	805
759	2543	803
760	2551	801
761	2558	799
762	2569	798
763	2574	795
764	2584	793
765	2591	791
766	2603	790
767	2611	789
768	2617	786
